transaction_id,customer_id,date,amount,category,type,balance
fcf56188-d32e-4dcd-83bc-9478dd6ac7b8,1285,2024-04-01,5762.3,Insurance premiums,Mobile Wallet,56316.09
6de299a1-4a90-4d0c-a4c1-73b9b7f28572,1502,2024-04-01,4635.25,Donations and religious offerings,Mobile Wallet,35541.53
d20f87d0-4465-4d6b-81fb-18b3c9a7d91f,1406,2024-04-01,8624.56,Groceries and household essentials,Internet Banking,2364.78
610461e3-2a25-4888-8f02-bad0e7067ef4,1315,2024-04-01,3678.28,Groceries and household essentials,Credit Card,21402.62
6fa17735-b572-43d0-8b5c-ea6a41357e8c,1203,2024-04-01,806.16,Donations and religious offerings,Mobile Wallet,62910.62
aab612c9-415d-474a-b5a6-69814104a8b5,1756,2024-04-02,9971.78,Clothing and accessories,ATM,64779.47
3f800385-ef92-40b6-92d7-8f107a3a6e96,1385,2024-04-02,8497.61,Donations and religious offerings,Credit Card,10842.93
896490ab-4926-4e5f-b878-6140ac2a4f71,1214,2024-04-02,8116.49,Savings and investments,UPI,35387.77
b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,1289,2024-04-02,9806.08,Rent/EMI,Credit Card,23134.57
f3abea0d-5be9-4db3-9d92-dd7c0db977a9,1799,2024-04-02,9215.57,Fuel and transportation,UPI,58066.16
dc5c0eed-8da0-465b-b898-97b9405cacec,1706,2024-04-03,2051.45,Dining and entertainment,Internet Banking,99517.36
6fac1673-0ad4-4230-bdf6-6ba5dc9c96de,1332,2024-04-04,9981.32,Healthcare,Mobile Banking,37994.07
255b30e2-bdc2-474b-b8a5-6b49dd34aa18,1857,2024-04-04,2722.19,Groceries and household essentials,Debit Card,75347.4
e39836bb-e23d-4faa-afad-49e9c41c147e,1502,2024-04-04,427.74,Groceries and household essentials,Debit Card,60365.45
144823f7-e7e6-46c7-8158-24639d8776a0,1389,2024-04-04,4689.19,Travel and vacations,Credit Card,31188.02
49646b96-fa3c-4628-8926-21df465568b7,1697,2024-04-04,6951.93,Groceries and household essentials,Internet Banking,89012.63
ff69723d-584f-485b-a697-384d801e8690,1965,2024-04-05,8451.28,Utilities,Internet Banking,91167.06
39118497-3a43-42ba-9f0f-06cbcb9bc326,1334,2024-04-05,3408.13,Insurance premiums,Credit Card,75324.98
964db03f-9340-4fad-9c4a-d56bd6016237,1517,2024-04-05,6074.0,Utilities,Mobile Wallet,70327.05
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,1253,2024-04-06,2033.64,Groceries and household essentials,Mobile Banking,15662.04
1a7167c7-6875-4545-832f-52c48e0370cf,1301,2024-04-06,4664.42,Utilities,Internet Banking,5840.86
6544e313-6ea0-4d13-a845-54c3a3f66c61,1993,2024-04-06,2817.66,Clothing and accessories,Debit Card,55274.31
8e867f3c-a487-4eab-accb-461a9d132363,1049,2024-04-06,552.88,Healthcare,Mobile Banking,88292.78
7e7838c9-ca55-438b-bc9a-be10238d6f44,1490,2024-04-06,5843.33,Clothing and accessories,Mobile Banking,92387.83
561e16d1-6105-416b-ab0e-664e9c3eb2d5,1174,2024-04-06,1791.94,Savings and investments,Mobile Wallet,38563.16
9a1de644-815e-46d1-bb8f-aa1837f8a88b,1665,2024-04-06,7028.18,Insurance premiums,Debit Card,45196.3
8cd34c62-c482-4b71-ae84-b81c2e0fb5b3,1706,2024-04-06,1202.11,Healthcare,Internet Banking,12797.71
9136f1f8-f310-46dc-a202-bee65cb5e69c,1086,2024-04-07,7262.2,Clothing and accessories,Debit Card,57410.06
f6ca6b8b-a4b1-4991-b542-46464d37a539,1377,2024-04-07,4700.69,Clothing and accessories,Debit Card,61388.86
c27437eb-a65f-4b8a-9bb4-4021fdde64af,1318,2024-04-07,7110.22,Insurance premiums,Debit Card,78161.38
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,1541,2024-04-07,2551.57,Clothing and accessories,Mobile Wallet,94271.87
ffd2f491-dff3-49aa-8c36-a70c3f5e3b8c,1148,2024-04-07,578.0,Groceries and household essentials,Debit Card,27064.34
8babce3b-2628-4bfb-a767-dceab0e6a969,1761,2024-04-07,8621.87,Healthcare,Credit Card,75301.79
98326856-9434-4a03-bf07-f81491d63f78,1267,2024-04-08,1826.75,Dining and entertainment,ATM,11286.05
43f59a85-fbc9-487a-b668-a61794a1875d,1476,2024-04-08,7009.68,Education fees,Debit Card,60786.32
df465290-61ee-411a-9bac-27a7b386f7a4,1546,2024-04-08,318.32,Insurance premiums,Mobile Banking,56657.0
9918ee46-1497-4658-b010-f7197e695d0d,1075,2024-04-08,8997.7,Education fees,Mobile Banking,15259.22
bd9419aa-3ea6-45b2-8c76-0d28df495037,1821,2024-04-09,8450.63,Education fees,ATM,2680.33
69288e92-c68a-452f-9b23-aa8c3bcabf85,1797,2024-04-09,1722.92,Clothing and accessories,UPI,11845.65
4cde1b6b-1132-467c-91a4-0d2a73d39457,1785,2024-04-09,7449.06,Donations and religious offerings,Mobile Banking,22786.5
4ef492c1-aac9-4316-86e5-27537c93f6cc,1485,2024-04-09,2692.03,Travel and vacations,Mobile Wallet,97219.66
23c86d30-1dde-4969-a886-13dba6348e78,1475,2024-04-09,9809.15,Healthcare,UPI,18636.66
3e11bafe-3d41-46fe-963a-8617bdab07e7,1600,2024-04-10,6361.23,Travel and vacations,UPI,64493.88
2f32751e-5738-411d-b0c2-903f7a8d03aa,1653,2024-04-10,9405.9,Utilities,UPI,23765.28
f93e08d5-bea2-4dfe-873f-6e1baf908e3c,1988,2024-04-10,8095.81,Healthcare,Mobile Wallet,19804.61
97674900-4651-4367-8bdc-43184d85a3d2,1897,2024-04-11,422.79,Dining and entertainment,Mobile Banking,60476.91
996d5c50-fc04-4168-a52f-fb493873e57f,1592,2024-04-11,5797.46,Donations and religious offerings,ATM,58560.57
cf0671c7-720b-474b-82a7-f586e61d9cde,1600,2024-04-11,2625.27,Utilities,ATM,99717.56
baa4b71a-dd24-47ac-b78e-edb3693dffbc,1309,2024-04-11,6136.19,Travel and vacations,Mobile Banking,1278.4
f96b648a-0ba6-4ab9-8639-447b2067bdac,1231,2024-04-11,8608.4,Donations and religious offerings,UPI,98004.25
fe7ee362-8a89-40f0-9052-91d3b34c6c73,1904,2024-04-12,1528.88,Savings and investments,Mobile Banking,61889.23
1247ea4e-2469-48e8-939e-198b44007d5a,1763,2024-04-12,682.4,Healthcare,Mobile Wallet,36522.88
284d82e5-87f7-41fb-9a4b-d9caeb5cf467,1471,2024-04-12,3529.1,Rent/EMI,Debit Card,2854.61
1cb9b73a-906d-4c8c-aad0-8c8913fe8a29,1266,2024-04-12,8209.89,Fuel and transportation,ATM,95233.61
b048faa1-12ae-4c22-b41b-77f54c24a053,1137,2024-04-12,3166.2,Rent/EMI,Credit Card,12136.42
5bd20c98-a513-4ea0-ba53-e34de6d5901d,1676,2024-04-12,2991.62,Healthcare,Mobile Banking,71907.46
f2a9dc8a-ca9e-4a62-bae3-114ba3b442bd,1802,2024-04-12,6357.31,Donations and religious offerings,Internet Banking,32009.48
3985c3cf-3f76-4e1d-9efa-21977394988f,1520,2024-04-13,847.11,Fuel and transportation,ATM,59705.99
269ed4c9-8059-4b93-b9c2-d2e49ae1a991,1143,2024-04-13,4800.67,Rent/EMI,ATM,26448.14
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,1696,2024-04-13,7221.18,Travel and vacations,Mobile Banking,75212.34
9e11d2cd-0930-4ef6-8a80-068ddf547e50,1513,2024-04-14,1551.07,Groceries and household essentials,Internet Banking,10798.44
5eddbbbf-a959-4663-adaa-2e688861fe18,1895,2024-04-14,8458.14,Utilities,Mobile Banking,91088.95
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,1142,2024-04-14,2503.94,Clothing and accessories,Mobile Banking,26642.79
32c5bd89-b70b-4420-b104-3785658b2523,1329,2024-04-15,8702.54,Donations and religious offerings,Debit Card,57393.87
dfa59722-0a1f-49df-9a59-19749adf4709,1174,2024-04-15,8884.92,Fuel and transportation,UPI,7962.74
77e490c7-1d7b-4313-8de2-2f1c56b60afc,1113,2024-04-15,7772.92,Rent/EMI,Credit Card,12623.91
73b5bad5-600b-4b35-aa0a-a7d5a0b85755,1538,2024-04-15,2238.62,Fuel and transportation,Mobile Banking,7283.56
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,1682,2024-04-15,4113.51,Insurance premiums,UPI,29917.69
7de31a51-6694-4343-90ba-58e3d2762bdc,1226,2024-04-15,6494.14,Travel and vacations,Mobile Wallet,46694.62
a7cf705c-c257-4f73-829d-782b2722796e,1005,2024-04-15,9646.96,Fuel and transportation,Internet Banking,65462.83
fe9936a3-62db-4850-bc5b-f3a75fbbf0b1,1617,2024-04-16,443.5,Utilities,Debit Card,80562.74
8a476a87-e49d-481d-91d8-7c6455fa1ab8,1295,2024-04-16,7084.21,Donations and religious offerings,Mobile Wallet,45676.12
ac8936bc-0cbd-4c03-9e2a-a4acc122b5b3,1627,2024-04-16,3219.37,Insurance premiums,Mobile Banking,74062.28
60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,1650,2024-04-16,8349.4,Fuel and transportation,Credit Card,35849.43
659b0105-cb80-4288-846f-64dd5abca6e5,1761,2024-04-16,4458.95,Education fees,Credit Card,73015.54
c9912032-df85-4777-9887-4bfec1369c65,1855,2024-04-16,8572.9,Fuel and transportation,ATM,71260.16
e63658c9-12d0-498d-b18d-4d05e8e22743,1128,2024-04-16,9725.18,Travel and vacations,ATM,45272.46
555736f8-267e-4dce-9f8f-41979a4a99b2,1577,2024-04-16,1166.48,Clothing and accessories,Mobile Banking,20614.6
cd180a82-4447-4eab-84ef-4324cc1b4157,1757,2024-04-17,1442.51,Donations and religious offerings,UPI,8303.56
53f30073-83e9-4ef4-ad7d-f5d0d3b59af7,1024,2024-04-17,2368.33,Education fees,UPI,84037.61
2ad11fe8-7d1b-495e-b1a0-449dd703262f,1351,2024-04-17,9706.39,Healthcare,Mobile Wallet,13770.5
b576255e-9854-4f22-a102-f9c964575bc4,1920,2024-04-17,5128.23,Groceries and household essentials,Internet Banking,13628.46
